Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1622733513.047659,172.10.0.2:59054,,,15,28997
1622733513.065445,172.10.0.2:59054,,,15,28997
1622733513.083655,172.10.0.2:59054,,,15,28997
1622733513.100933,172.10.0.2:59054,,,20,43477
1622733513.118429,172.10.0.2:59054,,,20,43477
1622733513.135790,172.10.0.2:59054,,,20,43477
1622733513.152997,172.10.0.2:59054,,,27,63749
1622733513.170357,172.10.0.2:59054,,,27,63749
1622733513.188443,172.10.0.2:59054,,,27,63749
1622733513.206256,172.10.0.2:59054,,,27,63749
1622733513.224086,172.10.0.2:59054,,,27,63749
1622733513.241773,172.10.0.2:59054,,,30,72437
1622733513.259155,172.10.0.2:59054,,,30,72437
1622733513.276704,172.10.0.2:59054,,,35,86917
1622733513.294716,172.10.0.2:59054,,,35,86917
1622733513.313250,172.10.0.2:59054,,,35,86917
1622733513.330917,172.10.0.2:59054,,,40,101397
1622733513.349553,172.10.0.2:59054,,,40,101397
1622733513.369135,172.10.0.2:59054,,,40,101397
1622733513.387386,172.10.0.2:59054,,,40,101397
1622733513.405646,172.10.0.2:59054,,,42,107189
1622733513.423573,172.10.0.2:59054,,,44,112981
1622733513.441815,172.10.0.2:59054,,,46,118773
1622733513.460045,172.10.0.2:59054,,,48,124565
1622733513.478170,172.10.0.2:59054,,,48,124565
1622733513.496306,172.10.0.2:59054,,,50,130357
1622733513.514209,172.10.0.2:59054,,,52,136149
1622733513.531627,172.10.0.2:59054,,,54,141941
1622733513.549630,172.10.0.2:59054,,,54,141941
1622733513.567730,172.10.0.2:59054,,,56,147733
1622733513.585019,172.10.0.2:59054,,,58,153525
1622733513.602476,172.10.0.2:59054,,,58,153525
1622733513.620102,172.10.0.2:59054,,,58,58
1622733513.637451,172.10.0.2:59054,,,58,58
1622733513.655182,172.10.0.2:59054,,,58,58
1622733513.674578,172.10.0.2:59054,,,58,58
1622733513.692379,172.10.0.2:59054,,,58,58
1622733513.710980,172.10.0.2:59054,,,58,58
1622733513.730404,172.10.0.2:59054,,,58,58
1622733513.748254,172.10.0.2:59054,,,58,58
1622733513.767360,172.10.0.2:59054,,,58,58
1622733513.786707,172.10.0.2:59054,,,58,58
1622733513.805134,172.10.0.2:59054,,,58,58
1622733513.822593,172.10.0.2:59054,,,58,58
1622733513.841428,172.10.0.2:59054,,,59,58
1622733513.859592,172.10.0.2:59054,,,59,58
1622733513.877936,172.10.0.2:59054,,,59,58
1622733513.897267,172.10.0.2:59054,,,59,58
1622733513.919632,172.10.0.2:59054,,,59,58
1622733513.939224,172.10.0.2:59054,,,59,58
1622733513.958054,172.10.0.2:59054,,,59,58
1622733513.976129,172.10.0.2:59054,,,59,58
1622733513.994359,172.10.0.2:59054,,,59,58
1622733514.011970,172.10.0.2:59054,,,59,58
1622733514.030895,172.10.0.2:59054,,,59,58
1622733514.048983,172.10.0.2:59054,,,59,58
1622733514.068697,172.10.0.2:59054,,,60,58
1622733514.086915,172.10.0.2:59054,,,60,58
1622733514.105908,172.10.0.2:59054,,,60,58
1622733514.124291,172.10.0.2:59054,,,60,58
1622733514.143092,172.10.0.2:59054,,,60,58
1622733514.161570,172.10.0.2:59054,,,60,58
1622733514.179999,172.10.0.2:59054,,,60,58
1622733514.198582,172.10.0.2:59054,,,60,58
1622733514.216020,172.10.0.2:59054,,,60,58
1622733514.234920,172.10.0.2:59054,,,60,58
1622733514.252177,172.10.0.2:59054,,,60,58
1622733514.271615,172.10.0.2:59054,,,60,58
1622733514.289813,172.10.0.2:59054,,,60,58
1622733514.308184,172.10.0.2:59054,,,61,58
1622733514.325786,172.10.0.2:59054,,,61,58
1622733514.343414,172.10.0.2:59054,,,61,58
1622733514.361106,172.10.0.2:59054,,,61,58
1622733514.379515,172.10.0.2:59054,,,61,58
1622733514.397532,172.10.0.2:59054,,,61,58
1622733514.415248,172.10.0.2:59054,,,61,58
1622733514.433136,172.10.0.2:59054,,,61,58
1622733514.451938,172.10.0.2:59054,,,61,58
1622733514.469285,172.10.0.2:59054,,,61,58
1622733514.487344,172.10.0.2:59054,,,61,58
1622733514.505874,172.10.0.2:59054,,,61,58
1622733514.523263,172.10.0.2:59054,,,61,58
1622733514.542079,172.10.0.2:59054,,,61,58
1622733514.560407,172.10.0.2:59054,,,62,58
1622733514.577822,172.10.0.2:59054,,,62,58
1622733514.595677,172.10.0.2:59054,,,62,58
1622733514.613360,172.10.0.2:59054,,,62,58
1622733514.630926,172.10.0.2:59054,,,62,58
1622733514.648328,172.10.0.2:59054,,,62,58
1622733514.665865,172.10.0.2:59054,,,62,58
1622733514.683241,172.10.0.2:59054,,,62,58
1622733514.701140,172.10.0.2:59054,,,62,58
1622733514.719171,172.10.0.2:59054,,,62,58
1622733514.736709,172.10.0.2:59054,,,62,58
1622733514.754399,172.10.0.2:59054,,,62,58
1622733514.771648,172.10.0.2:59054,,,62,58
1622733514.789244,172.10.0.2:59054,,,62,58
1622733514.807024,172.10.0.2:59054,,,63,58
1622733514.824395,172.10.0.2:59054,,,63,58
1622733514.841677,172.10.0.2:59054,,,63,58
1622733514.859433,172.10.0.2:59054,,,63,58
1622733514.876991,172.10.0.2:59054,,,63,58
1622733514.894433,172.10.0.2:59054,,,63,58
1622733514.912315,172.10.0.2:59054,,,63,58
1622733514.930135,172.10.0.2:59054,,,63,58
