Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1622716195.279833,172.10.0.2:56302,2,71,56,35
1622716195.298650,172.10.0.2:56302,2,71,55,35
1622716195.317768,172.10.0.2:56302,2,71,55,35
1622716195.336677,172.10.0.2:56302,2,71,54,35
1622716195.354159,172.10.0.2:56302,2,71,53,35
1622716195.372132,172.10.0.2:56302,2,71,52,35
1622716195.389623,172.10.0.2:56302,2,71,52,35
1622716195.407625,172.10.0.2:56302,2,71,51,35
1622716195.424823,172.10.0.2:56302,2,71,50,35
1622716195.442233,172.10.0.2:56302,2,71,49,35
1622716195.459478,172.10.0.2:56302,2,71,49,35
1622716195.477120,172.10.0.2:56302,2,71,48,35
1622716195.494685,172.10.0.2:56302,2,71,47,35
1622716195.512123,172.10.0.2:56302,2,71,47,35
1622716195.529523,172.10.0.2:56302,2,71,46,35
1622716195.547276,172.10.0.2:56302,2,71,45,35
1622716195.565705,172.10.0.2:56302,2,71,44,35
1622716195.584200,172.10.0.2:56302,2,71,44,35
1622716195.602218,172.10.0.2:56302,2,71,43,35
1622716195.620604,172.10.0.2:56302,2,71,42,35
1622716195.639021,172.10.0.2:56302,2,71,41,35
1622716195.657167,172.10.0.2:56302,2,71,41,35
1622716195.674759,172.10.0.2:56302,2,71,40,35
1622716195.692483,172.10.0.2:56302,2,71,39,35
1622716195.709906,172.10.0.2:56302,2,71,38,35
1622716195.727462,172.10.0.2:56302,2,71,38,35
1622716195.746895,172.10.0.2:56302,2,71,35,35
1622716195.764577,172.10.0.2:56302,2,71,35,35
1622716195.782492,172.10.0.2:56302,2,71,35,35
1622716195.799956,172.10.0.2:56302,2,71,35,35
1622716195.818023,172.10.0.2:56302,1,71,35,35
1622716195.835841,172.10.0.2:56302,0,71,35,35
1622716195.854809,172.10.0.2:56302,0,71,35,35
1622716195.872764,172.10.0.2:56302,0,71,35,35
1622716195.890136,172.10.0.2:56302,0,71,35,35
1622716195.908291,172.10.0.2:56302,0,71,35,35
1622716195.926351,172.10.0.2:56302,0,71,35,35
1622716195.947178,172.10.0.2:56302,0,71,35,35
1622716195.965802,172.10.0.2:56302,0,71,35,35
1622716195.985394,172.10.0.2:56302,0,71,35,35
1622716196.004288,172.10.0.2:56302,0,71,35,35
1622716196.024556,172.10.0.2:56302,0,71,35,35
1622716196.048989,172.10.0.2:56302,0,71,35,35
1622716196.069245,172.10.0.2:56302,0,71,35,35
1622716196.091300,172.10.0.2:56302,0,71,35,35
1622716196.114133,172.10.0.2:56302,0,71,35,35
1622716196.134016,172.10.0.2:56302,0,71,35,35
1622716196.153042,172.10.0.2:56302,0,71,35,35
1622716196.170439,172.10.0.2:56302,0,71,35,35
1622716196.188242,172.10.0.2:56302,0,71,35,35
1622716196.206037,172.10.0.2:56302,0,71,35,35
1622716196.224025,172.10.0.2:56302,0,71,35,35
1622716196.243339,172.10.0.2:56302,0,71,36,35
1622716196.262743,172.10.0.2:56302,0,71,36,35
1622716196.280481,172.10.0.2:56302,0,71,36,35
1622716196.297809,172.10.0.2:56302,0,71,36,35
1622716196.315608,172.10.0.2:56302,0,71,36,35
1622716196.332821,172.10.0.2:56302,0,71,36,35
1622716196.350223,172.10.0.2:56302,0,71,36,35
1622716196.367816,172.10.0.2:56302,0,71,36,35
1622716196.385304,172.10.0.2:56302,0,71,36,35
1622716196.403001,172.10.0.2:56302,0,71,36,35
